Arrive_time,Duration_of_stay,Station
20,5,1
20,5,1
33,4,3
33,4,3
33,4,3
35,4,6
35,4,6
35,5,6
35,5,6
35,5,6
37,8,1
37,8,1
37,8,1
37,4,3
37,4,3
37,4,3
37,5,6
37,5,6
37,5,6
38,4,0
38,4,0
38,4,0
39,7,4
39,7,4
40,4,2
40,4,2
40,4,2
40,4,2
40,9,2
40,4,3
40,5,3
40,5,3
41,12,1
41,12,1
41,4,3
41,4,3
41,4,3
41,4,3
41,10,3
41,10,3
42,5,1
42,12,8
42,12,8
43,4,3
43,4,3
43,4,3
43,4,3
43,4,3
43,4,3
43,4,3
43,4,3
43,4,8
43,4,8
43,12,8
44,5,0
44,5,0
44,5,0
44,4,2
44,4,2
44,4,2
45,6,4
45,6,4
46,5,0
46,12,2
46,4,5
47,7,2
47,7,2
47,7,2
47,7,2
47,8,4
47,8,4
48,5,0
48,5,0
48,8,2
48,8,2
49,9,2
49,9,2
49,9,2
50,6,0
50,6,0
50,6,0
50,9,2
50,9,2
50,9,2
50,4,3
50,4,3
50,4,3
50,4,3
50,4,3
52,4,2
52,4,2
52,4,2
52,7,2
53,4,0
53,4,0
53,4,0
53,4,0
53,4,1
53,4,5
53,4,6
53,4,6
53,4,6
53,4,6
54,4,5
54,4,5
54,4,5
55,4,5
56,4,3
56,4,3
56,4,3
56,4,3
56,4,3
56,4,4
56,4,4
56,4,4
56,4,5
56,4,5
56,4,5
56,4,5
56,4,5
57,4,0
57,7,2
57,7,2
57,7,2
57,7,2
57,7,2
57,7,2
58,4,1
58,4,1
58,4,1
58,4,1
58,4,2
58,4,2
58,4,2
58,4,2
58,4,2
58,4,3
58,4,3
58,4,3
58,4,4
58,4,4
58,4,4
58,4,4
58,4,4
58,4,4
58,4,4
58,6,8
58,6,8
59,5,0
59,11,4
59,11,4
59,5,6
59,5,6
59,5,6
59,5,8
59,5,8
60,9,2
60,9,2
60,6,4
60,6,4
60,6,4
60,6,4
60,6,4
60,6,4
60,6,4
60,6,4
60,5,5
60,5,5
61,6,4
61,6,4
61,6,4
62,4,0
62,4,0
62,4,0
62,5,3
62,7,7
62,7,7
62,7,7
63,8,4
63,8,4
63,8,4
63,8,4
63,8,4
63,8,4
63,8,4
63,4,6
63,4,6
63,4,6
63,4,6
63,4,6
63,4,6
63,6,8
63,6,8
63,6,8
63,6,8
64,5,0
64,5,0
64,5,0
64,5,0
64,5,0
64,10,8
65,4,0
65,4,0
65,4,1
65,4,1
65,4,1
65,4,1
65,4,1
65,4,1
65,11,4
65,11,4
65,11,4
65,11,4
65,11,4
65,4,5
65,4,5
65,4,5
65,4,5
65,4,5
65,4,5
66,4,1
66,4,1
66,4,1
66,4,1
66,7,4
66,7,4
67,4,2
67,4,2
68,4,1
68,4,1
68,4,1
68,4,1
68,4,6
68,4,6
68,4,6
68,4,6
68,4,6
69,5,1
69,5,1
69,5,1
69,5,6
70,4,1
70,4,1
71,5,1
71,5,1
71,5,1
71,10,1
71,10,1
71,4,3
71,4,3
71,4,3
71,10,4
71,10,4
71,10,4
72,4,1
72,4,1
72,4,1
72,4,1
72,4,1
72,4,1
72,4,3
72,4,3
72,4,3
72,10,4
72,10,4
72,10,4
73,4,1
73,4,1
73,4,1
73,4,1
73,6,3
73,6,3
73,4,6
73,4,6
73,4,6
73,4,6
73,4,6
73,8,6
73,8,6
73,8,6
73,8,6
73,10,6
73,10,6
73,10,6
73,10,6
73,10,6
74,4,0
74,4,0
74,4,1
74,4,3
74,4,3
74,4,3
75,4,6
75,4,6
75,4,6
75,5,6
75,5,6
76,4,1
76,4,1
76,4,1
76,7,7
76,7,7
76,7,7
76,7,7
76,7,7
77,6,0
77,6,0
77,6,0
77,6,0
77,6,0
77,12,4
77,12,4
77,12,4
77,12,4
77,12,4
78,5,6
78,5,6
78,5,6
78,5,6
78,5,6
78,5,6
78,4,8
79,4,0
79,4,0
79,4,6
79,4,6
79,4,6
79,5,6
79,5,6
79,5,6
79,5,6
80,5,0
80,5,0
80,5,0
80,4,6
80,4,6
80,4,6
81,5,6
81,5,6
83,4,1
83,4,1
83,4,6
83,4,6
83,4,6
