Arrive_time,Duration_of_stay,Station
22,4,7
22,4,7
32,4,6
32,4,6
32,4,6
32,5,8
32,5,8
35,4,3
35,4,3
35,4,3
35,4,3
35,4,3
36,12,2
36,12,2
37,7,2
37,7,2
37,7,2
37,7,2
37,7,2
38,4,0
38,4,0
38,9,7
38,9,7
38,9,7
38,9,7
39,5,4
39,5,4
40,4,5
40,4,5
41,10,3
41,4,8
41,4,8
41,4,8
42,4,0
42,4,0
42,4,1
42,4,2
42,4,2
42,10,2
42,10,2
42,10,2
42,10,2
42,10,2
43,4,0
43,4,0
43,4,0
43,4,2
43,4,2
43,4,2
43,4,2
43,4,2
43,4,2
43,4,2
43,4,2
43,4,2
43,10,5
43,10,5
43,10,8
43,10,8
44,7,4
44,7,4
44,7,4
44,9,4
44,9,4
44,9,4
44,10,4
44,10,4
44,10,4
44,10,4
44,5,5
44,5,5
44,5,5
44,5,5
44,5,8
44,5,8
45,4,2
45,5,4
45,4,5
45,4,5
45,4,5
45,4,5
46,8,2
46,8,2
46,8,2
46,8,2
46,8,2
46,8,2
46,8,2
46,6,6
46,6,6
46,6,6
46,6,6
46,6,6
46,6,6
46,6,6
47,4,0
47,4,1
47,5,4
47,5,4
47,8,4
47,8,4
47,8,4
47,8,4
48,5,2
48,9,2
48,9,2
48,4,3
48,4,3
48,4,3
48,4,3
48,4,5
49,8,5
49,8,5
49,8,5
49,6,8
49,6,8
49,6,8
50,4,0
50,4,0
50,8,4
50,8,4
50,4,5
50,4,5
50,4,5
50,4,5
51,4,0
51,4,0
51,4,0
51,4,0
51,4,0
51,9,2
51,9,2
51,9,2
51,9,4
51,9,4
51,9,4
52,7,2
52,7,2
52,7,2
52,7,2
52,4,7
52,10,8
52,10,8
52,10,8
52,10,8
52,10,8
52,10,8
53,4,0
53,4,0
53,4,1
53,4,1
53,4,1
53,4,1
53,4,1
53,4,1
53,6,2
54,4,1
54,5,2
54,4,5
54,4,5
54,4,5
55,4,1
55,5,1
55,5,2
55,5,2
55,4,6
56,4,0
56,4,0
56,4,0
56,4,0
56,4,0
56,12,0
56,12,0
56,12,0
56,12,0
56,5,1
56,5,1
56,5,1
56,7,6
56,7,6
56,7,6
57,5,0
57,5,0
57,5,0
57,9,1
57,9,1
57,10,5
57,10,5
57,10,5
57,4,6
57,4,6
57,4,6
57,4,6
58,7,2
58,4,3
58,4,3
58,4,3
58,4,3
58,4,5
58,4,5
58,4,5
58,4,5
58,4,5
58,6,5
58,6,5
58,4,6
59,4,0
59,4,0
59,4,0
59,7,0
59,6,2
59,4,3
59,4,3
59,4,3
59,4,3
59,4,3
60,4,0
60,4,0
60,4,1
60,4,1
60,4,1
60,8,7
60,8,7
60,8,7
60,8,7
61,7,6
61,7,6
61,7,6
61,7,6
61,7,6
61,7,6
62,4,0
62,4,0
62,4,0
62,4,3
62,4,3
62,4,3
62,4,3
62,4,3
62,4,3
62,12,4
62,12,4
62,12,4
62,4,8
62,4,8
63,5,1
63,4,8
64,4,3
64,4,3
64,4,3
64,4,3
64,6,4
64,5,7
64,5,7
64,5,7
65,5,1
65,5,1
65,5,1
65,5,1
65,5,1
65,4,4
65,4,4
65,4,4
65,6,4
65,6,4
65,9,4
65,9,4
65,9,4
65,9,4
65,9,4
65,8,5
65,8,5
65,8,5
66,5,0
66,4,5
66,4,5
66,4,6
66,4,6
66,4,8
66,4,8
67,4,0
68,6,7
68,6,7
69,4,1
69,6,1
69,6,1
69,6,1
69,6,1
69,11,1
69,5,4
69,5,4
69,5,4
69,5,4
69,4,5
70,5,2
70,5,2
70,5,5
70,6,5
70,6,5
70,6,5
70,6,5
71,7,0
71,7,0
72,4,5
72,4,5
72,4,5
73,6,2
73,6,2
73,6,2
73,6,2
73,4,3
73,5,5
73,4,8
74,4,0
75,4,3
76,8,0
76,8,0
76,8,0
77,6,0
77,6,0
77,6,0
77,4,1
77,4,1
77,4,8
79,4,8
80,4,5
80,4,5
80,9,6
81,4,8
81,4,8
81,4,8
81,4,8
82,4,6
82,5,6
82,4,8
82,4,8
82,4,8
83,6,7
83,6,7
83,6,7
84,4,5
84,4,5
84,4,5
85,4,8
