Arrive_time,Duration_of_stay,Station
26,4,7
26,4,7
26,4,7
26,4,7
29,4,2
31,4,3
31,4,3
31,4,3
32,12,6
32,12,6
32,12,6
35,5,0
35,5,0
35,5,0
37,10,1
38,9,0
38,9,0
38,9,0
39,5,2
39,5,2
39,5,2
39,7,7
39,7,7
39,7,7
39,7,7
39,7,7
40,4,2
40,4,3
40,4,5
40,4,5
41,4,2
41,10,6
41,10,6
41,10,6
41,10,6
42,4,0
42,4,0
42,4,0
42,4,0
42,5,0
42,4,2
42,4,2
42,4,5
42,4,5
42,4,7
42,4,7
42,4,7
42,4,7
43,4,3
43,4,3
43,4,3
43,8,3
43,8,3
43,5,5
43,5,5
43,5,5
44,4,1
44,4,1
44,6,1
44,6,1
44,6,1
44,4,2
44,5,2
44,5,2
44,5,2
44,7,4
44,7,4
44,4,6
44,4,6
45,4,0
45,4,0
45,4,0
45,4,1
45,6,4
45,6,4
45,7,4
45,7,4
45,7,4
45,7,4
46,4,1
46,4,1
46,4,3
46,4,3
46,4,3
46,4,3
46,6,4
46,6,4
46,6,4
46,6,4
46,6,4
46,6,4
46,7,4
46,7,4
46,7,4
46,7,4
46,7,4
46,5,5
46,5,6
46,5,6
46,5,6
46,5,6
48,4,0
48,4,0
48,4,0
48,7,4
48,7,4
48,7,4
48,9,4
48,9,4
48,11,4
48,11,4
48,11,4
48,7,8
48,7,8
49,4,0
49,4,0
49,4,0
49,6,2
49,6,2
49,8,4
49,8,4
49,8,4
49,6,7
49,6,7
49,6,7
50,4,1
50,4,1
50,12,1
50,4,3
50,4,3
50,4,3
50,6,3
50,5,5
50,5,5
50,5,5
50,5,5
50,5,5
50,5,6
51,4,2
51,4,2
51,4,2
51,4,3
51,4,3
51,4,3
51,4,3
51,4,3
51,7,6
51,7,6
51,7,6
51,4,8
51,4,8
51,4,8
52,10,3
52,10,3
52,10,3
52,10,3
52,10,3
52,4,4
52,7,7
53,5,1
53,5,1
53,5,1
53,11,2
53,11,2
53,11,2
53,4,3
53,4,3
53,4,3
53,4,3
54,8,0
54,6,2
54,6,2
54,12,4
54,12,4
54,4,5
54,4,5
54,4,5
55,4,0
55,5,0
55,5,0
55,5,0
55,5,0
55,4,1
55,4,1
55,5,4
55,5,4
55,12,4
55,4,6
55,4,6
56,12,4
56,12,4
56,6,5
57,4,0
57,4,0
57,4,0
57,4,2
57,4,2
57,4,2
57,4,4
57,4,4
57,4,4
57,4,5
57,4,5
57,4,5
57,4,5
57,12,6
58,4,0
58,4,1
58,4,1
58,4,3
58,7,4
58,7,4
58,7,4
58,4,5
58,4,5
58,6,5
58,6,5
60,5,0
60,5,0
60,5,0
60,5,0
60,5,0
60,5,0
60,10,4
60,10,4
60,10,4
60,4,8
60,4,8
61,4,0
61,4,0
61,4,0
61,4,0
61,9,2
61,5,4
61,6,6
61,6,6
61,6,6
61,6,6
61,5,8
61,5,8
61,5,8
61,5,8
61,6,8
61,6,8
61,6,8
62,4,1
62,6,4
62,4,6
63,4,0
63,8,4
63,8,4
63,5,8
63,5,8
63,5,8
63,5,8
65,5,0
65,5,0
65,12,4
65,4,6
66,4,1
66,4,1
66,4,1
66,4,1
66,4,1
66,4,2
66,4,2
66,4,5
66,4,5
67,10,4
67,10,4
67,4,7
67,4,7
67,4,7
68,5,0
68,4,1
68,4,1
68,4,1
68,4,1
69,4,0
69,4,0
69,4,0
70,4,1
70,4,1
70,4,1
70,4,1
70,5,1
70,5,1
70,5,1
70,8,4
70,8,4
71,4,1
71,4,1
71,6,2
72,11,0
72,7,5
72,7,5
72,7,5
72,5,7
72,5,7
74,7,6
74,7,6
74,8,6
75,4,7
76,4,2
76,4,2
76,4,2
76,4,6
76,4,6
76,4,6
77,7,5
77,7,5
77,7,5
78,4,0
78,4,0
78,11,2
78,4,5
78,4,5
78,4,5
78,5,5
79,8,0
79,8,0
79,8,0
79,10,0
79,10,0
79,4,8
79,4,8
79,4,8
79,4,8
80,5,0
81,4,0
81,4,0
81,4,0
81,5,6
81,5,6
81,5,6
82,6,0
82,6,0
82,6,0
82,6,0
82,6,0
82,6,0
84,4,1
84,4,1
84,4,1
