Time_slot,Clock_time,New_arrivals,Active_vehicles,PV_raw,WT_raw,Load_raw,Price_raw,PV_norm,WT_norm,Load_norm,Price_norm,Price_t_plus_1_norm,Price_t_plus_2_norm,Price_t_plus_3_norm,Price_t_plus_4_norm,Price_t_plus_5_norm,Active_station_0,Active_station_1,Active_station_2,Active_station_3,Active_station_4,Active_station_5,Active_station_6,Active_station_7,Active_station_8
0,00:00,0,0,0.0,7.03631107,38.30957521,1029.3538037,0.0,0.07036311,0.38309575,0.75143064,0.67847472,0.67729997,0.62995417,0.72647676,0.68815217,0,0,0,0,0,0,0,0,0
1,00:15,0,0,0.0,41.17005689,51.92961154,959.06539496,0.0,0.41170057,0.51929612,0.67847472,0.67729997,0.62995417,0.72647676,0.68815217,0.89266369,0,0,0,0,0,0,0,0,0
2,00:30,0,0,0.0,53.07025561,60.05828862,957.933594,0.0,0.53070256,0.60058289,0.67729997,0.62995417,0.72647676,0.68815217,0.89266369,0.76812188,0,0,0,0,0,0,0,0,0
3,00:45,0,0,0.0,30.55383178,17.81440248,912.31891113,0.0,0.30553832,0.17814402,0.62995417,0.72647676,0.68815217,0.89266369,0.76812188,0.72086711,0,0,0,0,0,0,0,0,0
4,01:00,0,0,0.0,34.6749755,50.67332634,1005.31232313,0.0,0.34674976,0.50673326,0.72647676,0.68815217,0.89266369,0.76812188,0.72086711,0.83081385,0,0,0,0,0,0,0,0,0
5,01:15,0,0,0.0,31.24447001,38.03202667,968.38900368,0.0,0.3124447,0.38032027,0.68815217,0.89266369,0.76812188,0.72086711,0.83081385,0.72315891,0,0,0,0,0,0,0,0,0
6,01:30,0,0,0.0,7.75784076,58.09925388,1165.42292243,0.0,0.07757841,0.58099254,0.89266369,0.76812188,0.72086711,0.83081385,0.72315891,0.88405087,0,0,0,0,0,0,0,0,0
7,01:45,0,0,0.0,27.92509023,52.90136475,1045.43476147,0.0,0.2792509,0.52901365,0.76812188,0.72086711,0.83081385,0.72315891,0.88405087,0.83620117,0,0,0,0,0,0,0,0,0
8,02:00,1,1,2.97178101,4.01200293,9.80232171,999.90777828,0.02971781,0.04012003,0.09802322,0.72086711,0.83081385,0.72315891,0.88405087,0.83620117,0.91894626,0,0,0,1,0,0,0,0,0
9,02:15,0,1,0.0,20.5298675,51.45493245,1105.83451406,0.0,0.20529868,0.51454932,0.83081385,0.72315891,0.88405087,0.83620117,0.91894626,0.91683414,0,0,0,1,0,0,0,0,0
10,02:30,0,1,0.0,16.15407264,10.41713225,1002.11578863,0.0,0.16154073,0.10417132,0.72315891,0.88405087,0.83620117,0.91894626,0.91683414,0.82456094,0,0,0,1,0,0,0,0,0
11,02:45,0,1,3.68660382,0.18613154,33.78547746,1157.12500998,0.03686604,0.00186132,0.33785477,0.88405087,0.83620117,0.91894626,0.91683414,0.82456094,0.76961409,0,0,0,1,0,0,0,0,0
12,03:00,0,0,0.0,6.51464263,24.79255332,1111.02485313,0.0,0.06514643,0.24792553,0.83620117,0.91894626,0.91683414,0.82456094,0.76961409,0.76427578,0,0,0,0,0,0,0,0,0
13,03:15,0,0,0.0,0.0,32.91534575,1190.7445124,0.0,0.0,0.32915346,0.91894626,0.91683414,0.82456094,0.76961409,0.76427578,0.88102733,0,0,0,0,0,0,0,0,0
14,03:30,0,0,0.0,24.4532261,66.88717722,1188.70962598,0.0,0.24453226,0.66887177,0.91683414,0.82456094,0.76961409,0.76427578,0.88102733,0.72874204,0,0,0,0,0,0,0,0,0
15,03:45,0,0,0.0,23.99524084,33.04428958,1099.81022399,0.0,0.23995241,0.3304429,0.82456094,0.76961409,0.76427578,0.88102733,0.72874204,0.78022498,0,0,0,0,0,0,0,0,0
16,04:00,0,0,8.67854263,43.58938156,57.06469807,1046.87241623,0.08678543,0.43589382,0.57064698,0.76961409,0.76427578,0.88102733,0.72874204,0.78022498,0.74360522,0,0,0,0,0,0,0,0,0
17,04:15,0,0,10.88847055,12.00210321,18.83116934,1041.72928552,0.10888471,0.12002103,0.18831169,0.76427578,0.88102733,0.72874204,0.78022498,0.74360522,0.60684637,0,0,0,0,0,0,0,0,0
18,04:30,0,0,10.02751728,14.31718988,59.32055618,1154.21202773,0.10027517,0.1431719,0.59320556,0.88102733,0.72874204,0.78022498,0.74360522,0.60684637,0.51406775,0,0,0,0,0,0,0,0,0
19,04:45,0,0,7.47384451,41.14143183,44.63992066,1007.49477521,0.07473845,0.41141432,0.44639921,0.72874204,0.78022498,0.74360522,0.60684637,0.51406775,0.65153174,0,0,0,0,0,0,0,0,0
20,05:00,0,0,4.01997112,18.34383772,28.83295368,1057.09533115,0.04019971,0.18343838,0.28832954,0.78022498,0.74360522,0.60684637,0.51406775,0.65153174,0.77701338,0,0,0,0,0,0,0,0,0
21,05:15,0,0,20.75261634,21.96418951,57.34923122,1021.81451409,0.20752616,0.2196419,0.57349231,0.74360522,0.60684637,0.51406775,0.65153174,0.77701338,0.70866506,0,0,0,0,0,0,0,0,0
22,05:30,0,0,24.56454042,7.64490759,0.0,890.05600785,0.2456454,0.07644908,0.0,0.60684637,0.51406775,0.65153174,0.77701338,0.70866506,0.60030046,0,0,0,0,0,0,0,0,0
23,05:45,0,0,30.98363997,49.54719236,27.77443709,800.66967487,0.3098364,0.49547192,0.27774437,0.51406775,0.65153174,0.77701338,0.70866506,0.60030046,0.44141465,0,0,0,0,0,0,0,0,0
24,06:00,0,0,34.27755476,0.0,11.35988866,933.10753915,0.34277555,0.0,0.11359889,0.65153174,0.77701338,0.70866506,0.60030046,0.44141465,0.74746612,0,0,0,0,0,0,0,0,0
25,06:15,0,0,11.65410234,8.65695008,15.92142363,1054.0011561,0.11654102,0.0865695,0.15921424,0.77701338,0.70866506,0.60030046,0.44141465,0.74746612,0.47545663,0,0,0,0,0,0,0,0,0
26,06:30,0,0,19.00408547,0.0,0.0,988.15187579,0.19004085,0.0,0.0,0.70866506,0.60030046,0.44141465,0.74746612,0.47545663,0.61154815,0,0,0,0,0,0,0,0,0
27,06:45,0,0,49.26069535,1.86196846,9.40753158,883.74943581,0.49260695,0.01861968,0.09407532,0.60030046,0.44141465,0.74746612,0.47545663,0.61154815,0.53065267,0,0,0,0,0,0,0,0,0
28,07:00,4,4,49.06431795,29.69168248,0.0,730.67300981,0.49064318,0.29691682,0.0,0.44141465,0.74746612,0.47545663,0.61154815,0.53065267,0.77216977,4,0,0,0,0,0,0,0,0
29,07:15,0,4,41.69886299,7.2846771,55.31192208,1025.53424497,0.41698863,0.07284677,0.55311922,0.74746612,0.47545663,0.61154815,0.53065267,0.77216977,0.46280079,4,0,0,0,0,0,0,0,0
30,07:30,2,6,61.18435469,14.90801394,10.55363427,763.47030203,0.61184355,0.14908014,0.10553634,0.47545663,0.61154815,0.53065267,0.77216977,0.46280079,0.34987478,4,2,0,0,0,0,0,0,0
31,07:45,0,6,63.15695634,0.0,38.44036111,894.58587687,0.63156956,0.0,0.38440361,0.61154815,0.53065267,0.77216977,0.46280079,0.34987478,0.48787548,4,2,0,0,0,0,0,0,0
32,08:00,0,6,85.36330406,7.32228464,58.5528559,816.64819878,0.85363304,0.07322285,0.58552856,0.53065267,0.77216977,0.46280079,0.34987478,0.48787548,0.0,4,2,0,0,0,0,0,0,0
33,08:15,0,6,35.56692848,6.25317287,65.8744471,1049.3346462,0.35566928,0.06253173,0.65874447,0.77216977,0.46280079,0.34987478,0.48787548,0.0,0.44533049,4,2,0,0,0,0,0,0,0
34,08:30,0,0,91.26249587,19.18006412,62.43930459,751.27719995,0.91262496,0.19180064,0.62439305,0.46280079,0.34987478,0.48787548,0.0,0.44533049,0.56147949,0,0,0,0,0,0,0,0,0
35,08:45,0,0,58.8726227,51.29601172,25.36922478,642.48012535,0.58872623,0.51296012,0.25369225,0.34987478,0.48787548,0.0,0.44533049,0.56147949,0.62348622,0,0,0,0,0,0,0,0,0
36,09:00,4,4,37.96280435,59.57987153,35.46147429,775.4350758,0.37962804,0.59579872,0.35461474,0.48787548,0.0,0.44533049,0.56147949,0.62348622,0.38662759,3,0,1,0,0,0,0,0,0
37,09:15,8,12,93.25824036,78.1099935,28.65171478,305.39790194,0.9325824,0.78109993,0.28651715,0.0,0.44533049,0.56147949,0.62348622,0.38662759,0.65579351,3,0,9,0,0,0,0,0,0
